Trial,Date_inoc,Date_assess,DAI,Inoc_batch,Humid_chamber,Treatment,ID,Variety,Rep,Pot_Num,Num_plants_pot,Dis_rating,Num_symptleaf,Num_dropleaf,Num_nodes,Num_nodes_pot,Num_deadplants,Height_toV1,Stem_Width
1,6/9/2022,6/16/2022,7,3,1,Inoculated,I2,PIONEER P54A36SX,2,.,.,0,0,0,18,18,.,6,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,K3,PIONEER P40A90LX,3,.,.,1,2,0,16,16,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,A2,AG47XF2,2,.,.,1,9,0,17,17,.,7.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,B1,PROGENY 4200RXS,1,.,.,0,0,0,16,16,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,J1,DELTA GROW 52XF22STS,1,.,.,0,0,0,17,17,.,11.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,F2,PROGENY P5554RX,2,.,.,1,10,0,22,22,.,4,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,A3,AG47XF2,3,.,.,1,6,0,15,15,.,5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,P1,DELTAGROW 54XF20,1,.,.,0,0,0,17,17,.,12,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,L2,PIONEER P44A21X,2,.,.,1,6,0,19,19,.,7,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,L1,PIONEER P44A21X,1,.,.,1,7,0,19,19,.,6,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,E2,NORTHROPKING NK42-T5XF,2,.,.,0,0,0,12,12,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,T3,DP3589,3,.,.,0,0,0,9,9,.,14,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,B3,PROGENY 4200RXS,3,.,.,1,4,0,13,13,.,12,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,D3,DELTA GROW 48XF33STS,3,.,.,0,0,0,17,17,.,12,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,C2,PROGENY P4444RXS,2,.,.,1,5,0,17,17,.,7,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,Q2,S46XF21S,2,.,.,0,0,0,19,19,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,I1,PIONEER P54A36SX,1,.,.,0,0,0,22,22,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,I3,PIONEER P54A36SX,3,.,.,0,0,0,16,16,.,13,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,J3,DELTA GROW 52XF22STS,3,.,.,0,0,0,20,20,.,12.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,M3,MISSO S14-15138GT,3,.,.,0,0,0,15,15,.,12.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,L3,PIONEER P44A21X,3,.,.,1,4,0,16,16,.,7,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,F3,PROGENY P5554RX,3,.,.,1,9,0,17,17,.,3.6,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,S1,AG53X9,1,.,.,1,5,0,17,17,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,D1,DELTA GROW 48XF33STS,1,.,.,0,0,0,11,11,.,12,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,E3,NORTHROPKING NK42-T5XF,3,.,.,0,0,0,13,13,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,N2,NORTHROPKING NK44-J4XFS,2,.,.,1,3,0,13,13,.,3.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,N3,NORTHROPKING NK44-J4XFS,3,.,.,1,1,0,13,13,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,R1,NK45P9XF,1,.,.,1,4,0,20,20,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,J2,DELTA GROW 52XF22STS,2,.,.,0,0,0,11,11,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,G3,PROGENY P4821RX,3,.,.,1,3,0,19,19,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,M1,MISSO S14-15138GT,1,.,.,0,0,0,17,17,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,R3,NK45P9XF,3,.,.,0,0,0,18,18,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,O3,DELTAGROW 48X45RR2X,3,.,.,0,0,0,13,13,.,8.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,B2,PROGENY 4200RXS,2,.,.,1,4,0,12,12,.,5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,C1,PROGENY P4444RXS,1,.,.,1,2,0,16,16,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,P3,DELTAGROW 54XF20,3,.,.,0,0,0,16,16,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,Q3,S46XF21S,3,.,.,0,0,0,12,12,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,P2,DELTAGROW 54XF20,2,.,.,0,0,0,18,18,.,6,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,G1,PROGENY P4821RX,1,.,.,1,4,0,20,20,.,9,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,H2,PROGENY P4604XFS,2,.,.,0,0,0,17,17,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,H3,PROGENY P4604XFS,3,.,.,0,0,0,12,12,.,13.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,T1,DP3589,1,.,.,1,2,0,11,11,.,11,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,S3,AG53X9,3,.,.,0,0,0,8,8,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,C3,PROGENY P4444RXS,3,.,.,1,4,0,17,17,.,4,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,O1,DELTAGROW 48X45RR2X,1,.,.,1,2,0,16,16,.,7,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,F1,PROGENY P5554RX,1,.,.,0,0,0,13,13,.,9,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,N1,NORTHROPKING NK44-J4XFS,1,.,.,0,0,0,11,11,.,8,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,Q1,S46XF21S,1,.,.,1,1,0,18,18,.,12.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,M2,MISSO S14-15138GT,2,.,.,0,0,0,16,16,.,14,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,K2,PIONEER P40A90LX,2,.,.,1,6,0,21,21,.,7,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,K1,PIONEER P40A90LX,1,.,.,1,4,0,15,15,.,9,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,T2,DP3589,2,.,.,0,0,0,12,12,.,12.5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,O2,DELTAGROW 48X45RR2X,2,.,.,1,1,0,15,15,.,5,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,E1,NORTHROPKING NK42-T5XF,1,.,.,1,4,0,10,10,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,D2,DELTA GROW 48XF33STS,2,.,.,0,0,0,12,12,.,13,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,H1,PROGENY P4604XFS,1,.,.,1,2,0,19,19,.,13,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,G2,PROGENY P4821RX,2,.,.,0,0,0,21,21,.,10,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,S2,AG53X9,2,.,.,0,0,0,27,27,.,8,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,A1,AG47XF2,1,.,.,0,0,0,11,11,.,0,.
1,6/9/2022,6/16/2022,7,3,1,Inoculated,R2,NK45P9XF,2,.,.,0,0,0,19,19,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,I2,PIONEER P54A36SX,2,.,.,1,3,0,18,18,.,6,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,K3,PIONEER P40A90LX,3,.,.,3,8,0,16,16,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,A2,AG47XF2,2,.,.,5,27,0,17,17,.,7.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,B1,PROGENY 4200RXS,1,.,.,1,2,0,16,16,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,J1,DELTA GROW 52XF22STS,1,.,.,0,0,0,17,17,.,11.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,F2,PROGENY P5554RX,2,.,.,3,15,0,22,22,.,4,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,A3,AG47XF2,3,.,.,3,11,0,15,15,.,5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,P1,DELTAGROW 54XF20,1,.,.,1,3,0,17,17,.,12,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,L2,PIONEER P44A21X,2,.,.,3,9,0,19,19,.,7,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,L1,PIONEER P44A21X,1,.,.,3,11,0,19,19,.,6,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,E2,NORTHROPKING NK42-T5XF,2,.,.,1,1,0,12,12,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,T3,DP3589,3,.,.,1,1,0,9,9,.,14,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,B3,PROGENY 4200RXS,3,.,.,1,4,0,13,13,.,12,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,D3,DELTA GROW 48XF33STS,3,.,.,1,4,0,17,17,.,12,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,C2,PROGENY P4444RXS,2,.,.,1,6,0,17,17,.,7,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,Q2,S46XF21S,2,.,.,1,3,0,19,19,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,I1,PIONEER P54A36SX,1,.,.,1,2,0,22,22,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,I3,PIONEER P54A36SX,3,.,.,0,0,0,16,16,.,13,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,J3,DELTA GROW 52XF22STS,3,.,.,0,0,0,20,20,.,12.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,M3,MISSO S14-15138GT,3,.,.,1,2,0,15,15,.,12.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,L3,PIONEER P44A21X,3,.,.,1,5,0,16,16,.,7,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,F3,PROGENY P5554RX,3,.,.,5,20,0,17,17,.,3.6,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,S1,AG53X9,1,.,.,1,5,0,17,17,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,D1,DELTA GROW 48XF33STS,1,.,.,1,2,2,11,11,.,12,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,E3,NORTHROPKING NK42-T5XF,3,.,.,0,0,0,13,13,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,N2,NORTHROPKING NK44-J4XFS,2,.,.,5,9,0,13,13,.,3.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,N3,NORTHROPKING NK44-J4XFS,3,.,.,1,3,0,13,13,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,R1,NK45P9XF,1,.,.,3,7,0,20,20,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,J2,DELTA GROW 52XF22STS,2,.,.,0,0,0,11,11,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,G3,PROGENY P4821RX,3,.,.,1,4,0,19,19,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,M1,MISSO S14-15138GT,1,.,.,1,3,0,17,17,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,R3,NK45P9XF,3,.,.,1,3,0,18,18,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,O3,DELTAGROW 48X45RR2X,3,.,.,0,0,0,13,13,.,8.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,B2,PROGENY 4200RXS,2,.,.,1,4,3,12,12,.,5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,C1,PROGENY P4444RXS,1,.,.,3,9,0,16,16,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,P3,DELTAGROW 54XF20,3,.,.,1,5,0,16,16,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,Q3,S46XF21S,3,.,.,0,0,0,12,12,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,P2,DELTAGROW 54XF20,2,.,.,0,0,0,18,18,.,6,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,G1,PROGENY P4821RX,1,.,.,1,6,0,20,20,.,9,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,H2,PROGENY P4604XFS,2,.,.,1,4,0,17,17,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,H3,PROGENY P4604XFS,3,.,.,0,0,0,12,12,.,13.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,T1,DP3589,1,.,.,1,3,0,11,11,.,11,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,S3,AG53X9,3,.,.,1,2,0,8,8,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,C3,PROGENY P4444RXS,3,.,.,1,4,0,17,17,.,4,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,O1,DELTAGROW 48X45RR2X,1,.,.,1,4,0,16,16,.,7,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,F1,PROGENY P5554RX,1,.,.,0,0,0,13,13,.,9,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,N1,NORTHROPKING NK44-J4XFS,1,.,.,1,5,2,11,11,.,8,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,Q1,S46XF21S,1,.,.,1,1,0,18,18,.,12.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,M2,MISSO S14-15138GT,2,.,.,0,0,0,16,16,.,14,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,K2,PIONEER P40A90LX,2,.,.,1,8,0,21,21,.,7,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,K1,PIONEER P40A90LX,1,.,.,1,6,0,15,15,.,9,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,T2,DP3589,2,.,.,0,0,0,12,12,.,12.5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,O2,DELTAGROW 48X45RR2X,2,.,.,1,2,0,15,15,.,5,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,E1,NORTHROPKING NK42-T5XF,1,.,.,1,4,3,10,10,.,10,.
1,6/9/2022,6/18/2022,9,3,1,Inoculated,D2,DELTA GROW 48XF33STS,2,.,.,0,0,0,12,12,.,13,.
