Trial,Number,Box,Isolate,Variety,Position,leaf_area,lesion_area,pct_sympt,SE_
1,1,1,DL24,AG53x9,14,273378,80130,29.31,
1,2,1,Avoy1,AG53x9,12,143468,12690,8.85,
1,3,1,AC2,AG53x9,5,157061,94938,60.45,
1,4,1,ML1,AG53x9,11,210415,62118,29.52,
1,5,1,RT1,AG53x9,1,250504,45861,18.31,
1,6,1,AV13,AG53x9,3,253242,56,0.02,
1,7,1,DL24,DP3589,9,180703,20165,11.16,
1,8,1,Avoy1,DP3589,8,218199,7219,3.31,
1,9,1,AC2,DP3589,13,216156,114297,52.88,
1,10,1,ML1,DP3589,7,168868,114749,67.95,
1,11,1,RT1,DP3589,4,184035,68243,37.08,
1,12,1,AV13,DP3589,10,176831,2380,1.35,
1,13,1,Control,AG53x9,2,187952,1810,0.96,
1,14,1,Control,DP3589,6,204019,791,0.39,
1,15,2,DL24,AG53x9,6,281593,101693,36.11,
1,16,2,Avoy1,AG53x9,1,181635,12593,6.93,
1,17,2,AC2,AG53x9,14,34710,34710,100,
1,18,2,ML1,AG53x9,10,205017,14834,7.24,
1,19,2,RT1,AG53x9,7,122969,94570,76.91,
1,20,2,AV13,AG53x9,8,152440,4244,2.78,
1,21,2,DL24,DP3589,9,147480,4146,2.81,
1,22,2,Avoy1,DP3589,5,143074,47244,33.02,
1,23,2,AC2,DP3589,4,172910,122695,70.96,
1,24,2,ML1,DP3589,13,149911,41775,27.87,
1,25,2,RT1,DP3589,3,187852,68835,36.64,
1,26,2,AV13,DP3589,2,157302,2455,1.56,
1,27,2,Control,AG53x9,11,66434,18,0.03,
1,28,2,Control,DP3589,12,234984,4110,1.75,
1,29,3,DL24,AG53x9,7,83055,74453,89.64,
1,30,3,Avoy1,AG53x9,11,102002,22563,22.12,
1,31,3,AC2,AG53x9,1,20546,20546,100,
1,32,3,ML1,AG53x9,14,66763,60301,90.32,
1,33,3,RT1,AG53x9,12,83960,19545,23.28,
1,34,3,AV13,AG53x9,6,87909,5699,6.48,
1,35,3,DL24,DP3589,13,163546,63541,38.85,
1,36,3,Avoy1,DP3589,5,166671,89050,53.43,
1,37,3,AC2,DP3589,3,114922,111475,97,
1,38,3,ML1,DP3589,10,184070,111851,60.77,
1,39,3,RT1,DP3589,2,149037,77553,52.04,
1,40,3,AV13,DP3589,4,92595,2113,2.28,
1,41,3,Control,AG53x9,9,38499,0,0,
1,42,3,Control,DP3589,8,218106,864,0.4,
1,43,4,DL24,AG53x9,9,149292,85662,57.38,
1,44,4,Avoy1,AG53x9,13,68874,45065,65.43,
1,45,4,AC2,AG53x9,6,74028,73702,99.56,
1,46,4,ML1,AG53x9,11,76031,45900,60.37,
1,47,4,RT1,AG53x9,5,154756,55751,36.03,
1,48,4,AV13,AG53x9,7,171146,45036,26.31,
1,49,4,DL24,DP3589,3,118872,93023,78.25,
1,50,4,Avoy1,DP3589,10,140555,109138,77.65,
1,51,4,AC2,DP3589,1,263851,254897,96.61,
1,52,4,ML1,DP3589,2,220222,101037,45.88,
1,53,4,RT1,DP3589,8,194921,10610,5.44,
1,54,4,AV13,DP3589,4,121692,26617,21.87,
1,55,4,Control,AG53x9,14,62770,263,0.42,
1,56,4,Control,DP3589,12,184194,2587,1.4,
2,71,1,DL24,AG53x9,3,126898,122685,96.68,
2,72,1,Avoy1,AG53x9,12,51142,51142,100,
2,73,1,AC2,AG53x9,5,65455,65455,100,
2,74,1,ML1,AG53x9,1,120038,59859,49.87,
2,75,1,RT1,AG53x9,9,81047,31020,38.27,
2,76,1,AV13,AG53x9,2,147283,33432,22.7,
2,77,1,DL24,DP3589,6,114307,98349,86.04,
2,78,1,Avoy1,DP3589,11,238126,10551,4.43,
2,79,1,AC2,DP3589,10,135263,105660,78.11,
2,80,1,ML1,DP3589,14,234088,21876,9.35,
2,81,1,RT1,DP3589,7,231536,38894,16.8,
2,82,1,AV13,DP3589,13,162679,209,0.13,
2,83,1,Control,AG53x9,8,40187,46,0.11,
2,84,1,Control,DP3589,4,145432,1059,0.73,
2,85,2,DL24,AG53x9,10,96716,88437,91.44,
2,86,2,Avoy1,AG53x9,5,48773,48773,100,
2,87,2,AC2,AG53x9,7,84682,84682,100,
2,88,2,ML1,AG53x9,12,103139,53250,51.63,
2,89,2,RT1,AG53x9,2,78223,78223,100,
2,90,2,AV13,AG53x9,13,106823,90758,84.96,
2,91,2,DL24,DP3589,4,333114,81980,24.61,
2,92,2,Avoy1,DP3589,11,103274,103274,100,
2,93,2,AC2,DP3589,8,253330,183521,72.44,
2,94,2,ML1,DP3589,9,165875,111826,67.42,
2,95,2,RT1,DP3589,1,113091,15480,13.69,
2,96,2,AV13,DP3589,3,110240,7690,6.98,
2,97,2,Control,AG53x9,6,38957,911,2.37,
2,98,2,Control,DP3589,14,169964,2513,1.48,
2,99,3,DL24,AG53x9,13,103304,89778,86.91,
2,100,3,Avoy1,AG53x9,9,76948,41371,53.76,
2,101,3,AC2,AG53x9,6,131434,28198,21.45,
2,102,3,ML1,AG53x9,14,67232,56014,83.31,
2,103,3,RT1,AG53x9,12,97481,57208,58.69,
2,104,3,AV13,AG53x9,7,69562,2258,3.25,
2,105,3,DL24,DP3589,3,133758,118716,88.75,
2,106,3,Avoy1,DP3589,8,208581,106935,51.27,
2,107,3,AC2,DP3589,10,107579,107565,99.99,
2,108,3,ML1,DP3589,4,52916,52916,100,
2,109,3,RT1,DP3589,2,147714,86857,58.8,
2,110,3,AV13,DP3589,1,132556,19653,14.83,
2,111,3,Control,AG53x9,11,50228,46,0.09,
2,112,3,Control,DP3589,5,59215,208,0.35,
2,113,4,DL24,AG53x9,7,80030,38193,47.72,
2,114,4,Avoy1,AG53x9,5,85309,50580,59.29,
2,115,4,AC2,AG53x9,13,34254,34254,100,
2,116,4,ML1,AG53x9,2,90694,17507,19.3,
2,117,4,RT1,AG53x9,11,65050,27826,43.42,
2,118,4,AV13,AG53x9,4,101811,28019,27.52,
2,119,4,DL24,DP3589,6,306924,38919,12.68,
2,120,4,Avoy1,DP3589,9,186907,121156,64.82,
2,121,4,AC2,DP3589,3,143865,143054,99.44,
2,122,4,ML1,DP3589,10,145770,129759,89.02,
2,123,4,RT1,DP3589,14,170595,135358,79.34,
2,124,4,AV13,DP3589,8,47.72,57884,48.33,
2,125,4,Control,AG53x9,1,41625,905,2.17,
2,126,4,Control,DP3589,12,88773,631,0.71,
