Trial,Date_inoc,Date_assess,DAI,Treatment,ID,Variety,Rep,Pot_Num,Num_plants_pot,Dis_rating,Num_symptleaf,Num_dropleaf,Num_nodes,Num_nodes_pot,Num_deadplants,Height_toV1
1,7/10/2021,7/14/2021,4,Inoculated,A1,LS4919XFS,1,1,3,0,0,0,17,18,0,.
1,7/10/2021,7/16/2021,6,Inoculated,A1,LS4919XFS,1,1,3,0,0,0,17,25,0,.
1,7/10/2021,7/18/2021,8,Inoculated,A1,LS4919XFS,1,1,3,0,2,0,17,25,0,.
1,7/10/2021,7/21/2021,11,Inoculated,A1,LS4919XFS,1,1,3,1,5,0,17,17,0,.
1,7/10/2021,7/24/2021,14,Inoculated,A1,LS4919XFS,1,1,3,3,8,3,17,17,0,.
1,7/10/2021,7/27/2021,17,Inoculated,A1,LS4919XFS,1,1,3,5,15,6,17,17,0,.
1,7/10/2021,7/30/2021,20,Inoculated,A1,LS4919XFS,1,1,3,5,17,7,17,17,0,.
1,7/10/2021,8/2/2021,23,Inoculated,A1,LS4919XFS,1,1,3,7,42,22,17,17,0,.
1,7/10/2021,7/14/2021,4,Inoculated,B1,S43XS70,1,2,3,0,0,0,18,18,0,.
1,7/10/2021,7/16/2021,6,Inoculated,B1,S43XS70,1,2,3,0,0,0,18,10,0,.
1,7/10/2021,7/18/2021,8,Inoculated,B1,S43XS70,1,2,3,0,3,0,18,10,0,.
1,7/10/2021,7/21/2021,11,Inoculated,B1,S43XS70,1,2,3,1,3,0,18,18,0,.
1,7/10/2021,7/24/2021,14,Inoculated,B1,S43XS70,1,2,3,1,6,0,18,18,0,.
1,7/10/2021,7/27/2021,17,Inoculated,B1,S43XS70,1,2,3,5,18,6,18,18,0,.
1,7/10/2021,7/30/2021,20,Inoculated,B1,S43XS70,1,2,3,5,24,10,18,18,0,.
1,7/10/2021,8/2/2021,23,Inoculated,B1,S43XS70,1,2,3,5,42,21,18,18,0,.
1,7/10/2021,7/14/2021,4,Inoculated,C1,DG52X05RR2X,1,3,3,1,1,0,25,17,0,.
1,7/10/2021,7/16/2021,6,Inoculated,C1,DG52X05RR2X,1,3,3,0,0,0,25,15,0,.
1,7/10/2021,7/18/2021,8,Inoculated,C1,DG52X05RR2X,1,3,3,1,4,0,25,15,0,.
1,7/10/2021,7/21/2021,11,Inoculated,C1,DG52X05RR2X,1,3,3,1,11,0,25,25,0,.
1,7/10/2021,7/24/2021,14,Inoculated,C1,DG52X05RR2X,1,3,3,5,36,3,25,25,0,.
1,7/10/2021,7/27/2021,17,Inoculated,C1,DG52X05RR2X,1,3,3,7,48,12,25,25,0,.
1,7/10/2021,7/30/2021,20,Inoculated,C1,DG52X05RR2X,1,3,3,7,60,13,25,25,0,.
1,7/10/2021,8/2/2021,23,Inoculated,C1,DG52X05RR2X,1,3,3,7,69,44,25,25,0,.
1,7/10/2021,7/14/2021,4,Inoculated,F1,LS5909XFS,1,6,3,0,0,0,15,15,0,.
1,7/10/2021,7/16/2021,6,Inoculated,F1,LS5909XFS,1,6,3,0,0,0,8,8,0,.
1,7/10/2021,7/18/2021,8,Inoculated,F1,LS5909XFS,1,6,3,0,4,0,8,8,0,.
1,7/10/2021,7/21/2021,11,Inoculated,F1,LS5909XFS,1,6,3,1,6,0,17,17,0,.
1,7/10/2021,7/24/2021,14,Inoculated,F1,LS5909XFS,1,6,3,5,19,9,17,17,0,.
1,7/10/2021,7/27/2021,17,Inoculated,F1,LS5909XFS,1,6,3,7,45,17,17,17,0,.
1,7/10/2021,7/30/2021,20,Inoculated,F1,LS5909XFS,1,6,3,7,48,25,17,17,0,.
1,7/10/2021,8/2/2021,23,Inoculated,F1,LS5909XFS,1,6,3,9,51,42,17,17,3,.
1,7/10/2021,7/14/2021,4,Inoculated,A2,LS4919XFS,2,8,3,0,0,0,19,14,0,.
1,7/10/2021,7/16/2021,6,Inoculated,A2,LS4919XFS,2,8,3,0,0,0,19,20,0,.
1,7/10/2021,7/18/2021,8,Inoculated,A2,LS4919XFS,2,8,3,0,4,0,19,20,0,.
1,7/10/2021,7/21/2021,11,Inoculated,A2,LS4919XFS,2,8,3,1,6,0,19,19,0,.
1,7/10/2021,7/24/2021,14,Inoculated,A2,LS4919XFS,2,8,3,5,15,6,19,19,0,.
1,7/10/2021,7/27/2021,17,Inoculated,A2,LS4919XFS,2,8,3,5,19,7,19,19,0,.
1,7/10/2021,7/30/2021,20,Inoculated,A2,LS4919XFS,2,8,3,5,25,11,19,19,0,.
1,7/10/2021,8/2/2021,23,Inoculated,A2,LS4919XFS,2,8,3,7,41,19,19,19,0,.
1,7/10/2021,7/14/2021,4,Inoculated,B2,S43XS70,2,9,3,0,0,0,15,20,0,.
1,7/10/2021,7/16/2021,6,Inoculated,B2,S43XS70,2,9,3,0,0,0,15,16,0,.
1,7/10/2021,7/18/2021,8,Inoculated,B2,S43XS70,2,9,3,0,4,0,15,16,0,.
1,7/10/2021,7/21/2021,11,Inoculated,B2,S43XS70,2,9,3,3,15,3,15,15,0,.
1,7/10/2021,7/24/2021,14,Inoculated,B2,S43XS70,2,9,3,5,33,12,15,15,0,.
1,7/10/2021,7/27/2021,17,Inoculated,B2,S43XS70,2,9,3,7,39,17,15,15,0,.
1,7/10/2021,7/30/2021,20,Inoculated,B2,S43XS70,2,9,3,7,42,25,15,15,2,.
1,7/10/2021,8/2/2021,23,Inoculated,B2,S43XS70,2,9,3,7,45,27,15,15,2,.
1,7/10/2021,7/14/2021,4,Inoculated,C2,DG52X05RR2X,2,10,3,0,0,0,20,15,0,.
1,7/10/2021,7/16/2021,6,Inoculated,C2,DG52X05RR2X,2,10,3,0,0,0,20,18,0,.
1,7/10/2021,7/18/2021,8,Inoculated,C2,DG52X05RR2X,2,10,3,0,2,0,20,18,0,.
1,7/10/2021,7/21/2021,11,Inoculated,C2,DG52X05RR2X,2,10,3,1,4,0,20,20,0,.
1,7/10/2021,7/24/2021,14,Inoculated,C2,DG52X05RR2X,2,10,3,5,18,6,20,20,0,.
